"maker","series","model","descripcion","referencia"
"Ford","FORD/NEW FIESTA (CCH)/SE","2014","BOC.DL.MARC.PUE.TR.D","BE8Z58255A34A"
"Ford","FORD/NEW FIESTA (CCH)/SE","2014","BOCE.TR.MAR.PUE.TR.D","BE8Z54255A62AA"
"Ford","FORD/NEW FIESTA (CCH)/SE","2014","BOCEL PUER.DEL.D.","BE8Z5820550A"
"Ford","FORD/NEW FIESTA (CCH)/SE","2014","BOCEL PUER.TRA.D.","BE8Z54255A60A"
"Ford","FORD/NEW FIESTA (CCH)/SE","2014","BOCEL PUERTA DEL.D.","BE8Z5820554A"
"Ford","FORD/NEW FIESTA (CCH)/SE","2014","BOMB.DIRECCIONAL D.","BE8Z13466A"
"Ford","FORD/NEW FIESTA (CCH)/SE","2014","COSTADO D.","AE8Z5427840A"
"Ford","FORD/NEW FIESTA (CCH)/SE","2014","DIRECC.ESPEJO EXT.D.","AE8Z13B374A"
"Ford","FORD/NEW FIESTA (CCH)/SE","2014","GUARDAP.PLAST.TRA.D.","AE8Z54278B50A"
"Ford","FORD/NEW FIESTA (CCH)/SE","2014","LLANTA TRA D tot","240308105711412"
"Ford","FORD/NEW FIESTA (CCH)/SE","2014","PARAGOLPES TRA.","AE8Z17K835AAPTM"
"Ford","FORD/NEW FIESTA (CCH)/SE","2014","PUERTA TRA.D.","AE8Z5424630A"
"Ford","FORD/NEW FIESTA (CCH)/SE","2014","REF.PARAGOLPES TR.D.","AE8Z17D942A"
"Ford","FORD/NEW FIESTA (CCH)/SE","2014","RIN RUEDA TR.D.","9S4Z1007C"
"Ford","FORD/NEW FIESTA (CCH)/SE","2014","VALVULA PRESION TR.D","9L3Z1700A"
"Ford","FORD/NEW FIESTA (CCH)/SE","2014","VIDRIO LATER.TRA.D.","AE8Z5429710B"
"CHEVROLET","SAIL","2018","Bomper Delantero (Cambiado)","9063025"
"CHEVROLET","SAIL","2018","Emblema Persiana","9022495"
"CHEVROLET","SAIL","2018","Guardabarro Lh","52082968"
